Album ID,Album Name
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe)
4yP0hdKOZPNshxUOjY0cZj,After Hours
1AZjTOqvw2ZogWZxnDlhEN,Welcome To The Madhouse (Deluxe)
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys
5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent
0G1ffjfFuTUTVjDrVdLimH,Views
35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
22rp3PnM3q2mtTI0OGCzpq,Collage EP
0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe)
51s30K7a36ORx6AAaPBRRY,Evolve
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe)
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
7oiJYvEJHsmYtrgviAVIBD,Back from the Edge
4bZJWQhHKJckFLJuYdvyX2,F*CK LOVE 3: OVER YOU
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition)
2viWIVEItaDlFH2RXWKwS7,Goodbye & Good Riddance
1ATL5GLyefJaxhQzSPVrLX,Scorpion
7fJJK56U9fHixgO0HQkhtI,Future Nostalgia
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition)
2ODvWsOgouMbaA5xf0RkJe,Starboy
0KTj6k94XZh0c6IEMfxeWV,Dreamland (+ Bonus Levels)
7xV2TzoaVc0ycW7fwBwAml,Fine Line
2sBB17RXTamvj7Ncps15AK,lovely (with Khalid)
6X9k3hSsvQck2OfKYdBbXr,A Night At The Opera (Deluxe Remastered Version)
4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open
2Ti79nwTsont5ZHfdxIzAm,?
4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe)
4OTAx9un4e6NfoHuVRiOrC,Love In The Future (Expanded Edition)
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding
04E0aLUdCHnhnnYrDDvcHq,Hozier
2vD3zSQr8hNlg0obNel4TE,Camila
51s30K7a36ORx6AAaPBRRY,Evolve
2fYhqwDWXjbpjaIJPEfKFw,"thank u, next"
5VdyJkLe3yvOs0l4xXbWp0,17
42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight
733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe)
3cQO7jp5S9qLBoIVtbkSM1,Blurryface
78EicdHZr5XBWD7llEZ1Jh,Happier
41GuZcammIkupMPKH2OJ6I,ASTROWORLD
4eLPsYPBmXABThSJ821sqY,DAMN.
2sRnJq6dfXdqhIflBk0ve1,All the Little Lights
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe)
37qAVEAZSyRTVFvVRHcwOa,Wake Me Up
0G0vIGvVlJ3MtXunjqrbMY,Native (Deluxe)
4DOcG4A40Wf3q2vPNGQwQg,Peace Is The Mission
4xkM0BwLM9H2IUcbYzpcBI,I Love You.
1p5rgTwzlrhJnSdi93zpbd,Roses (Imanbek Remix)
02sEJTj1sye1JaqxqpcSCp,Encore
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys
5S9b8euumqMhQbMk0zzQdH,Dream Your Life Away (Special Edition)
5HMjpBO0v78ayq5lreAyDd,Faded
