Album ID,Album Name,Artist ID,Track ID
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,7qiZfU4dY1lWllzX7mPBI3
4yP0hdKOZPNshxUOjY0cZj,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,0VjIjW4GlUZAMYd2vXMi3b
1AZjTOqvw2ZogWZxnDlhEN,Welcome To The Madhouse (Deluxe),2NjfBq1NflQcKSeiDooVjY,2N8m6CYs74qQO4mjVcXO30
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,246dkjvS1zLTtiykXe5h60,0e7ipj03S05BNilyu5bRzt
5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,4GNC7GD6oZMSxPGyXy4MNB,7qEHsqek33rTcFNT9PFqLf
0G1ffjfFuTUTVjDrVdLimH,Views,3TVXtAsR1Inumwj472S9r4,12VWzyPDBCc8fqeWCAfNwR
35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),69GGBxA162lTqCwzJG5jLp,3KkXRkHbMCARz0aVfEt68P
22rp3PnM3q2mtTI0OGCzpq,Collage EP,7n2wHs1TKAczGzO7Dd2rGr,7crMiinWx373rNBZBaVske
0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),53XhwfbYqKCa1cC15pYq2q,6v3KW9xbzN5yKLt9YKDYA2
51s30K7a36ORx6AAaPBRRY,Evolve,6qqNVTkY8uBg9cP3Jd7DAH,1NtIMM4N0cFa1dNzN15chl
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2tIP7SsRs7vjIcLrU85W8J,2Fxmhks0bxGSBdJ92vM42m
7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,4MCBfE4596Uoi2O4DtmEMz,5uCax9HTNlzGybIStD3vDh
4bZJWQhHKJckFLJuYdvyX2,F*CK LOVE 3: OVER YOU,6M2wZ9GZgrQXHCFfjv46we,5PjdY0CKGZdEuoNab3yDmX
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),4yvcSjfu4PC0CYQyLy4wSq,34gCuhDGsG4bRPIf9bb02f
2viWIVEItaDlFH2RXWKwS7,Goodbye & Good Riddance,6KImCVD70vtIoJWnq6nGn3,0s3nnoMeVWz3989MkNQiRf
1ATL5GLyefJaxhQzSPVrLX,Scorpion,1dfeR4HaWDbWqFHLkxsg1d,6DCZcSspjsKoFjzjrWoCdn
7fJJK56U9fHixgO0HQkhtI,Future Nostalgia,15UsOTVnJzReFVN1VCnxy4,3PfIrDoz19wz7qK7tYeu62
2ODvWsOgouMbaA5xf0RkJe,Starboy,1uNFoZAHBGtllmzznpCI3s,7MXVkk9YMctZqd1Srtv4MB
