Artist ID,Artist Name,Artist Popularity,Artist genre
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,91,"['pop', 'uk pop']"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2NjfBq1NflQcKSeiDooVjY,Tones And I,72,"['australian pop', 'pop']"
246dkjvS1zLTtiykXe5h60,Post Malone,89,"['dfw rap', 'melodic rap', 'rap']"
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,81,"['pop', 'uk pop']"
3TVXtAsR1Inumwj472S9r4,Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,81,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,85,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,89,"['modern rock', 'rock']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,89,"['art pop', 'electropop', 'pop']"
4IWBUUAFIplrNtaOHcJPRM,James Arthur,81,"['pop', 'talent show', 'uk pop']"
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,82,"['australian hip hop', 'pop']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,90,"['chicago rap', 'melodic rap']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,89,"['dance pop', 'pop', 'uk pop']"
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,80,"['gauze pop', 'indietronica', 'shiver pop']"
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,['pop']
1dfeR4HaWDbWqFHLkxsg1d,Queen,85,"['classic rock', 'glam rock', 'rock']"
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,88,"['emo rap', 'miami hip hop']"
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,85,"['art pop', 'dance pop', 'pop']"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,91,"['canadian pop', 'pop']"
5y2Xq6xcjJb2jVM54GHK3t,John Legend,78,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
2FXC3k01G6Gw61bmprjgqS,Hozier,78,"['irish singer-songwriter', 'pop']"
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,82,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,89,"['dance pop', 'pop']"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,88,"['hip hop', 'rap', 'slap house']"
