,song name,Song id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Smithereens,5G6Gt9RtNaeIE418pd4yre,0.764,0.548,6,-7.627,1,0.14,0.296,1.01E-05,0.0769,0.519,151.02, audio_features, 5G6Gt9RtNaeIE418pd4yre, spotify:track:5G6Gt9RtNaeIE418pd4yre, https://api.spotify.com/v1/tracks/5G6Gt9RtNaeIE418pd4yre, https://api.spotify.com/v1/audio-analysis/5G6Gt9RtNaeIE418pd4yre,177040, 4}]
1,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51E-06,0.266,0.238,131.121, audio_features, 3nqQXoyQOWXiESFLlDF1hG, spotify:track:3nqQXoyQOWXiESFLlDF1hG, https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG, https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943, 4}]
2,Smooth Criminal - 2012 Remaster,2bCQHF9gdG5BNDVuEIEnNk,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193, audio_features, 2bCQHF9gdG5BNDVuEIEnNk, spotify:track:2bCQHF9gdG5BNDVuEIEnNk, https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk, https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760, 4}]
3,SHADOW,0wGbyS1tExQSwOYu6UceyE,0.721,0.692,7,-2.927,1,0.0414,0.000166,0.275,0.104,0.531,120.005, audio_features, 0wGbyS1tExQSwOYu6UceyE, spotify:track:0wGbyS1tExQSwOYu6UceyE, https://api.spotify.com/v1/tracks/0wGbyS1tExQSwOYu6UceyE, https://api.spotify.com/v1/audio-analysis/0wGbyS1tExQSwOYu6UceyE,162042, 4}]
4,Whiskey On You,6Tm4Io4ct4w14nB1EUzsY3,0.479,0.768,8,-5.204,1,0.0312,7.02E-05,0.00549,0.121,0.576,110.024, audio_features, 6Tm4Io4ct4w14nB1EUzsY3, spotify:track:6Tm4Io4ct4w14nB1EUzsY3, https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3, https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3,183790, 4}]
5,Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73E-06,0.295,0.961,115.996, audio_features, 0n2SEXB2qoRQg171q7XqeW, spotify:track:0n2SEXB2qoRQg171q7XqeW, https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW, https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987, 4}]
6,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04E-05,0.0766,0.493,82.001, audio_features, 7795WJLVKJoAyVoOtCWqXN, spotify:track:7795WJLVKJoAyVoOtCWqXN, https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN, https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN,239317, 4}]
7,Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928, audio_features, 5z6xHjCZr7a7AIcy8sPBKy, spotify:track:5z6xHjCZr7a7AIcy8sPBKy, https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy, https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,209267, 4}]
8,Smithereens (with Rachel Chinouriri),7KdlCAJJcJ7mczRt1fno7I,0.557,0.224,2,-13.313,1,0.0386,0.895,0,0.416,0.125,109.503, audio_features, 7KdlCAJJcJ7mczRt1fno7I, spotify:track:7KdlCAJJcJ7mczRt1fno7I, https://api.spotify.com/v1/tracks/7KdlCAJJcJ7mczRt1fno7I, https://api.spotify.com/v1/audio-analysis/7KdlCAJJcJ7mczRt1fno7I,163823, 4}]
9,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003, audio_features, 0y60itmpH0aPKsFiGxmtnh, spotify:track:0y60itmpH0aPKsFiGxmtnh, https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh, https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520, 4}]
